time,unbiased,steered,coupled,TAMD
34.70000,-5.01778,-4.80066,-4.80529,-5.71194
34.80000,-4.95013,-4.65915,-4.91612,-5.80221
34.90000,-4.53899,-4.55883,-5.08070,-5.66397
35.00000,-4.69884,-4.75197,-4.74682,-5.51310
35.10000,-4.66700,-4.88218,-4.86163,-5.12966
35.20000,-4.29030,-4.47431,-4.90476,-5.40969
35.30000,-4.53570,-4.52676,-4.71264,-4.99515
35.40000,-4.60745,-4.54991,-4.55539,-5.42827
35.50000,-4.47846,-4.76621,-4.61201,-5.38276
35.60000,-4.50565,-5.24551,-4.52410,-5.20532
35.70000,-4.67701,-4.88168,-4.35024,-5.32586
35.80000,-4.80824,-4.78853,-4.54803,-5.12372
35.90000,-4.81318,-4.59257,-4.32103,-5.10103
36.00000,-4.89025,-4.43034,-4.27130,-5.18513
36.10000,-4.66827,-4.65915,-4.21858,-5.30559
36.20000,-4.77810,-4.90179,-4.45947,-5.58178
36.30000,-5.08441,-4.98494,-4.27840,-5.45273
36.40000,-5.21715,-4.87120,-4.36026,-5.51443
36.50000,-4.94072,-5.10567,-4.61476,-5.28904
36.60000,-4.66463,-5.01415,-4.47514,-5.43953
36.70000,-4.54348,-4.98226,-4.69114,-5.54931
36.80000,-4.58193,-5.20508,-4.69297,-5.57889
36.90000,-4.59728,-5.21785,-4.83568,-5.62603
37.00000,-4.44251,-5.33626,-5.03256,-5.70436
37.10000,-4.60690,-5.18629,-4.67973,-5.91193
37.20000,-4.67570,-5.02977,-5.04197,-5.75185
37.30000,-4.94887,-4.92987,-4.99940,-5.68512
37.40000,-5.27610,-4.61049,-4.80794,-5.54623
37.50000,-5.52643,-4.80185,-4.85822,-5.49330
37.60000,-5.53612,-4.79916,-4.90322,-5.45393
37.70000,-5.54176,-4.81463,-4.87378,-5.57841
37.80000,-5.03282,-4.99971,-5.15336,-5.49327
37.90000,-4.91796,-5.13681,-5.05721,-5.64106
38.00000,-5.09822,-4.98425,-4.91209,-5.67346
38.10000,-4.99202,-4.72213,-5.20145,-5.95693
38.20000,-5.30300,-4.90325,-5.21753,-6.22762
38.30000,-5.37230,-4.98964,-5.39378,-6.33726
38.40000,-5.34548,-4.70348,-5.32726,-6.14376
38.50000,-5.26563,-4.62110,-5.47499,-5.81478
38.60000,-5.21531,-4.80322,-5.61589,-5.97163
38.70000,-5.15413,-4.66085,-5.69980,-5.57916
38.80000,-5.13905,-4.65551,-5.82245,-5.50781
38.90000,-5.11604,-4.78405,-5.57487,-5.47203
39.00000,-5.33653,-4.78695,-5.40029,-5.55378
39.10000,-5.44606,-4.84570,-5.30954,-5.22559
39.20000,-5.39152,-5.25601,-5.28539,-5.54474
39.30000,-5.39505,-5.57417,-5.24398,-5.49096
